Id, Name, Year, MinPlayers, MaxPlayers, MinPlayTime, MaxPlayTime, PlayingTime, NumOwned, Age,
126239, Twin Tin Bots, 2013, 2, 6, 50, 50, 50, 757, -1, 
132145, Two Crowns, 2012, 2, 2, 15, 15, 15, 82, -1, 
234621, Tybor der Baumeister, 2017, 2, 4, 30, 30, 30, 1198, -1, 
723, The Uncanny X-Men Alert Adventure Game, 1992, 2, 4, 60, 60, 60, 772, -1, 
204605, Unicornus Knights, 2016, 2, 6, 60, 90, 90, 771, -1, 
128698, Vampire Empire, 2012, 2, 2, 30, 30, 30, 1018, -1, 
193927, Vanuatu (second edition), 2016, 2, 5, 60, 90, 90, 1508, -1, 
170416, Vast: The Crystal Caverns, 2016, 1, 5, 75, 75, 75, 8813, -1, 
174802, VENOM Assault, 2016, 1, 5, 60, 120, 120, 320, -1, 
160561, Versailles, 2014, 2, 5, 90, 90, 90, 1246, -1, 
241724, Villagers, 2019, 1, 5, 30, 60, 60, 241, -1, 
204496, Villannex (2nd Edition + expansions), 2016, 1, 4, 5, 15, 15, 71, -1, 
178892, Vs System 2PCG: The Marvel Battles, 2015, 2, 2, 30, 30, 30, 1247, -1, 
247980, Walls of York, 2018, 2, 4, 30, 30, 30, 91, -1, 
9609, War of the Ring (First Edition), 2004, 2, 4, 120, 120, 120, 11981, -1, 
197572, Warhammer Quest: Silver Tower, 2016, 2, 4, 60, 120, 120, 2209, -1, 
67178, Water Lily, 2010, 2, 4, 20, 20, 20, 529, -1, 
249414, Way Up High, 2016, 2, 5, 5, 10, 10, 321, -1, 
121993, We Will Wok You, 2013, 2, 4, 30, 40, 40, 611, -1, 
5772, What's It To Ya?, 2017, 3, 8, 20, 20, 20, 328, -1, 
244654, Wildlands, 2018, 2, 4, 30, 60, 60, 1650, -1, 
47082, Win; Lose; or Banana, 2018, 3, 3, 1, 1, 1, 1023, -1, 
215471, Wind the Film!, 2016, 2, 4, 20, 20, 20, 281, -1, 
163602, XCOM: The Board Game, 2015, 1, 4, 60, 120, 120, 10268, -1, 
176530, Xenon Profiteer, 2015, 2, 5, 30, 30, 30, 1040, -1, 
117915, Yedo, 2014, 2, 5, 120, 180, 180, 4146, -1, 
189294, Yeti, 2016, 2, 5, 20, 40, 40, 695, -1, 
264637, Yokohama Duel, 2018, 2, 2, 45, 45, 45, 64, -1, 
638, Zeus en Hera, 2002, 2, 2, 30, 30, 30, 4837, -1, 
144826, Zombie 15', 2014, 2, 4, 15, 15, 15, 3601, -1, 
212765, ことりファイト!, 2016, 1, 4, 20, 20, 20, 869, -1, 
36648, キョンシー 日本語版, 2017, 2, 5, 30, 45, 45, 1814, -1, 
251053, バスルートをつくろう, 2018, 2, 5, 20, 30, 30, 338, -1, 
203664, ホーリー グレイル, 2016, 1, 4, 60, 60, 60, 7, -1, 
216497, 聖杯サクセション, 2016, 2, 2, 10, 20, 20, 93, -1, 
196421, Aeon's End: The Depths, 2017, 1, 4, 30, 60, 60, 2706, -1, 
212139, Aeon's End: The Nameless, 2017, 1, 4, 60, 60, 60, 2298, -1, 
257047, Altiplano: De Reiziger, 2019, 2, 5, 60, 120, 120, 1060, -1, 
209221, Avonturenland: Koning en Prinses, 2016, 2, 4, 45, 45, 45, 524, -1, 
